timestamp_utc,pool,chain,project,symbol,tvl_usd,apy,apy_base,apy_reward,score,candidate
2026-09-06T06:53:05+00:00,2f5341f4-6c2e-4c65-b2e0-10cd5228ff62,Ethereum,morpho-blue,STEAKCUSDC,39507857.0,7.19947,7.19947,0.0,57.78,NO
2026-09-06T06:53:05+00:00,4438dabc-7f0c-430b-8136-2722711ae663,Ethereum,fluid-lending,USDC,148919939.0,4.45,4.45,0.0,57.28,NO
2026-09-06T06:53:05+00:00,aa70268e-4b52-42bf-a116-608b370f9501,Ethereum,aave-v3,USDC,148894277.0,3.60236,3.60236,0.0,56.8,NO
2026-09-06T06:53:05+00:00,df7ccfd1-2642-4d79-851a-a5b07d9b8a97,Base,morpho-blue,GTUSDCP,96584494.0,4.23283,4.23283,0.0,56.29,NO
2026-09-06T06:53:05+00:00,81ae8812-f04f-4f6e-9d71-ee5778f3a178,Base,morpho-blue,STEAKUSDC,135997254.0,3.15826,3.15826,0.0,56.09,NO
2026-09-06T06:53:05+00:00,d3b28212-a46b-4db8-8bb7-2c946b3cbe76,Ethereum,morpho-blue,STEAKEURCV,138894557.0,3.0,3.0,0.0,55.67,NO
2026-09-06T06:53:05+00:00,931ea9be-5f4d-428e-beaf-205fc5b4e2b5,Ethereum,morpho-blue,STEAKUSDC,94614236.0,4.24988,4.24988,0.0,55.64,NO
2026-09-06T06:53:05+00:00,488f06db-5a36-450e-9ba9-b4321be39c7c,Ethereum,fluid-lite,USDC,46043869.0,6.51,0.0,0.0,55.47,NO
2026-09-06T06:53:05+00:00,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,Ethereum,aave-v3,USDT,176951606.0,3.67767,3.67767,0.0,55.33,NO
2026-09-06T06:53:05+00:00,0ed981dc-b49d-426d-ade5-6014728b1ef9,Ethereum,sparklend,USDS,240335474.0,2.3184,2.3184,0.0,55.32,NO
2026-09-06T06:53:05+00:00,71b34441-5a46-431b-a9b3-8c081cd0d74c,Ethereum,morpho-blue,GTUSDCP,87966218.0,4.25937,4.25937,0.0,55.19,NO
2026-09-06T06:53:05+00:00,c8a24fee-ec00-4f38-86c0-9f6daebc4225,Ethereum,sky-lending,SDAI,204351701.0,1.25,1.25,0.0,55.08,NO
2026-09-06T06:53:05+00:00,2d3b68a8-33d3-47e0-a4c0-0bafef4b01d5,Base,morpho-blue,USDE,342161269.0,4.75,0.0,4.75,54.2,NO
2026-09-06T06:53:05+00:00,d73fcfed-a2ca-5314-a94b-a841982df77f,Ethereum,morpho-blue,PENDLEUSDC,58717844.0,6.2215,4.90606,1.31544,53.74,NO
2026-09-06T06:53:05+00:00,b55f43a8-f444-4cd8-a3a4-0a4e786ba566,Ethereum,morpho-blue,STEAKUSDC,68850489.0,4.05095,4.05095,0.0,53.55,NO
2026-09-06T10:12:02+00:00,d8c4eff5-c8a9-46fc-a888-057c4c668e72,Ethereum,sky-lending,SUSDS,4658562641.0,3.6,3.6,0.0,77.56,YES
2026-09-06T10:12:02+00:00,ba68527f-8ec2-4c55-827a-8f4673ae047c,Base,morpho-blue,STEAKUSDC,427244666.0,4.23384,4.23384,0.0,64.92,NO
2026-09-06T10:12:02+00:00,e0672197-9f3e-4414-bca5-e6b4c90aa469,Base,morpho-blue,GTUSDCP,418600734.0,4.23409,4.23409,0.0,64.87,NO
2026-09-06T10:12:02+00:00,699f25fe-09f4-4f82-8f58-baa5b0af8fa4,Ethereum,morpho-blue,SENPYUSDMAIN,386350622.0,6.00669,3.06772,2.93897,63.06,NO
2026-09-06T10:12:02+00:00,9d499222-a01a-45bb-bbc9-f01c7923693b,Arbitrum,spark-savings,USDS,362452196.0,3.6,3.6,0.0,62.78,NO
