timestamp_utc,buy_dex,sell_dex,start_usdc,sol_bought,final_usdc,gross_profit_usdc,gross_bps,execution_buffer_bps,stressed_bps,candidate,buy_price_impact_pct,sell_price_impact_pct,buy_latency_ms,sell_latency_ms,buy_route,sell_route
2026-09-07T00:40:23+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.942682728,99.951144,-0.048856,-4.886,20.000,-24.886,NO,0.000000,0.010520,92.5,144.0,Meteora DLMM,Raydium CLMM
2026-09-07T01:04:54+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.940681121,99.957167,-0.042833,-4.283,20.000,-24.283,NO,0.009835,0.032578,105.2,48.5,Raydium CLMM,Meteora DLMM
2026-09-07T01:05:04+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.940622776,99.945389,-0.054611,-5.461,20.000,-25.461,NO,0.000000,0.246748,89.1,74.7,Meteora DLMM,Raydium CLMM
2026-09-07T02:02:42+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.949081609,99.941404,-0.058596,-5.860,20.000,-25.860,NO,0.042526,0.005575,50.2,39.3,Raydium CLMM,Meteora DLMM
2026-09-07T02:02:52+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.948900040,99.937314,-0.062686,-6.269,20.000,-26.269,NO,0.025649,0.012819,57.4,38.3,Meteora DLMM,Raydium CLMM
2026-09-07T05:09:58+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.949382515,99.972901,-0.027099,-2.710,20.000,-22.710,NO,0.008458,0.023690,104.1,105.3,Raydium CLMM,Meteora DLMM
2026-09-07T05:10:08+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.949317485,99.937936,-0.062064,-6.206,20.000,-26.206,NO,0.016440,0.044200,43.7,87.5,Meteora DLMM,Raydium CLMM
2026-09-07T06:08:54+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.950983462,99.963715,-0.036285,-3.629,20.000,-23.629,NO,0.017398,0.019604,55.8,49.6,Raydium CLMM,Meteora DLMM
2026-09-07T06:09:03+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.950929104,99.943763,-0.056237,-5.624,20.000,-25.624,NO,0.005351,0.041533,74.4,49.8,Meteora DLMM,Raydium CLMM
2026-09-07T10:15:44+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.952953721,99.960695,-0.039305,-3.931,20.000,-23.931,NO,0.017626,0.020554,88.3,155.5,Raydium CLMM,Meteora DLMM
2026-09-07T10:15:53+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.952928092,99.939101,-0.060899,-6.090,20.000,-26.090,NO,0.008677,0.000000,90.4,25.6,Meteora DLMM,Raydium CLMM
2026-09-07T13:56:47+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.950715136,99.955591,-0.044409,-4.441,20.000,-24.441,NO,0.030408,0.012314,122.6,83.8,Raydium CLMM,Meteora DLMM
2026-09-07T13:56:57+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.950852162,99.965826,-0.034174,-3.417,20.000,-23.417,NO,0.018893,0.013297,121.2,93.2,Meteora DLMM,Raydium CLMM
2026-09-07T14:02:14+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.950796468,99.961197,-0.038803,-3.880,20.000,-23.880,NO,0.007246,0.029092,145.4,159.2,Raydium CLMM,Meteora DLMM
2026-09-07T14:02:23+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.950727058,99.939566,-0.060434,-6.043,20.000,-26.043,NO,0.012423,0.050047,89.3,120.2,Meteora DLMM,Raydium CLMM
2026-09-07T14:44:59+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.959279508,99.944707,-0.055293,-5.529,20.000,-25.529,NO,0.036482,0.018561,32.8,39.1,Raydium CLMM,Meteora DLMM
2026-09-07T14:45:08+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.959635167,99.966508,-0.033492,-3.349,20.000,-23.349,NO,0.012021,0.032071,37.3,46.0,Meteora DLMM,Raydium CLMM
2026-09-07T15:49:57+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.967414002,99.960304,-0.039696,-3.970,20.000,-23.970,NO,0.012834,0.030716,53.9,88.4,Raydium CLMM,Meteora DLMM
2026-09-07T15:50:06+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.967535888,99.949149,-0.050851,-5.085,20.000,-25.085,NO,0.024836,0.049193,156.9,19.4,Meteora DLMM,Raydium CLMM
2026-09-07T15:54:36+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.967921576,99.959222,-0.040778,-4.078,20.000,-24.078,NO,0.002133,0.020430,88.1,93.8,Raydium CLMM,Meteora DLMM
2026-09-07T15:54:45+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.967810766,99.948884,-0.051116,-5.112,20.000,-25.112,NO,0.010369,0.042085,50.5,98.7,Meteora DLMM,Raydium CLMM
2026-09-07T18:19:09+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.962388493,99.970671,-0.029329,-2.933,20.000,-22.933,NO,0.000000,0.029601,42.4,56.3,Raydium CLMM,Meteora DLMM
2026-09-07T18:19:18+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.962309528,99.956069,-0.043931,-4.393,20.000,-24.393,NO,0.003859,0.034697,38.9,39.6,Meteora DLMM,Raydium CLMM
2026-09-07T18:39:11+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.964136929,99.977989,-0.022011,-2.201,20.000,-22.201,NO,0.007321,0.016114,54.7,82.8,Raydium CLMM,Meteora DLMM
2026-09-07T18:39:20+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.963839105,99.967456,-0.032544,-3.254,20.000,-23.254,NO,0.006904,0.021266,84.2,84.8,Meteora DLMM,Raydium CLMM
2026-09-07T21:10:48+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.962512989,99.949020,-0.050980,-5.098,20.000,-25.098,NO,0.040342,0.014465,201.5,93.8,Raydium CLMM,Meteora DLMM
2026-09-07T21:10:58+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.962810299,99.975037,-0.024963,-2.496,20.000,-22.496,NO,0.009281,0.015178,95.9,95.0,Meteora DLMM,Raydium CLMM
2026-09-07T21:53:01+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.962578919,99.978151,-0.021849,-2.185,20.000,-22.185,NO,0.016579,0.012714,20.8,53.9,Raydium CLMM,Meteora DLMM
2026-09-07T21:53:12+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.962514082,99.957244,-0.042756,-4.276,20.000,-24.276,NO,0.017378,0.039261,1866.6,116.6,Meteora DLMM,Raydium CLMM
2026-09-07T23:55:40+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.962510413,99.939875,-0.060125,-6.012,20.000,-26.012,NO,0.046130,0.011374,113.5,39.2,Raydium CLMM,Meteora DLMM
2026-09-07T23:55:50+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.962882486,99.979891,-0.020109,-2.011,20.000,-22.011,NO,0.000000,0.014779,64.5,69.3,Meteora DLMM,Raydium CLMM
