timestamp_utc,symbol,direction,binance_rate,binance_interval_hours,bybit_rate,bybit_interval_hours,spread_bps_per_hour,spread_bps_per_8h,rough_annualized_pct,breakeven_8h_periods,candidate
2026-09-06T18:05:51+00:00,SPCXUSDT,flat,0.0000000000,8.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,ONDOUSDT,flat,0.0000500000,4.0000,0.0000500000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,FILUSDT,short Bitget / long Gate,-0.0000760000,8.0000,-0.0001500000,8.0000,0.092500,0.740000,8.1030,40.541,NO
2026-09-06T18:05:51+00:00,CLUSDT,flat,0.0000000000,4.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,ASTERUSDT,short Bitget / long Gate,0.0000500000,4.0000,0.0000230000,4.0000,0.067500,0.540000,5.9130,55.556,NO
2026-09-06T18:05:51+00:00,SKHYNIXUSDT,flat,0.0000000000,4.0000,0.0000000000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,ETHUSDT,short Bitget / long Gate,0.0000880000,8.0000,0.0000640000,8.0000,0.030000,0.240000,2.6280,125.000,NO
2026-09-06T18:18:22+00:00,BTCUSDT,short Bitget / long Gate,0.0000580000,8.0000,0.0000190000,8.0000,0.048750,0.390000,4.2705,76.923,NO
2026-09-06T18:18:22+00:00,ZECUSDT,long Bitget / short Gate,-0.0000560000,8.0000,0.0001000000,8.0000,-0.195000,-1.560000,17.0820,19.231,NO
2026-09-06T18:18:22+00:00,SOLUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000620000,8.0000,0.047500,0.380000,4.1610,78.947,NO
2026-09-06T18:18:22+00:00,DOGEUSDT,long Bitget / short Gate,0.0000810000,8.0000,0.0000940000,8.0000,-0.016250,-0.130000,1.4235,230.769,NO
2026-09-06T18:18:22+00:00,XRPUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000620000,8.0000,0.047500,0.380000,4.1610,78.947,NO
2026-09-06T18:18:22+00:00,ARBUSDT,short Bitget / long Gate,0.0001000000,8.0000,-0.0000480000,8.0000,0.185000,1.480000,16.2060,20.270,NO
2026-09-06T18:18:22+00:00,HYPEUSDT,flat,0.0000500000,4.0000,0.0000500000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,UNIUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,PONSUSDT,long Bitget / short Gate,0.0006290000,4.0000,0.0020130000,4.0000,-3.460000,-27.680000,303.0960,1.084,YES
2026-09-06T18:18:22+00:00,MARSCOINUSDT,long Bitget / short Gate,0.0001170000,4.0000,0.0001200000,4.0000,-0.007500,-0.060000,0.6570,500.000,NO
2026-09-06T18:18:22+00:00,ADAUSDT,long Bitget / short Gate,0.0000320000,8.0000,0.0001000000,8.0000,-0.085000,-0.680000,7.4460,44.118,NO
2026-09-06T18:18:22+00:00,ENAUSDT,short Bitget / long Gate,0.0000500000,4.0000,-0.0000290000,4.0000,0.197500,1.580000,17.3010,18.987,NO
2026-09-06T18:18:22+00:00,USELESSUSDT,short Bitget / long Gate,0.0005260000,4.0000,0.0000720000,4.0000,1.135000,9.080000,99.4260,3.304,YES
2026-09-06T18:18:22+00:00,SNDKUSDT,flat,0.0000000000,8.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,TRUMPUSDT,short Bitget / long Gate,0.0000500000,4.0000,-0.0002960000,4.0000,0.865000,6.920000,75.7740,4.335,YES
2026-09-06T18:18:22+00:00,BNBUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,UAIUSDT,long Bitget / short Gate,0.0000500000,4.0000,0.0009130000,8.0000,-1.016250,-8.130000,89.0235,3.690,YES
2026-09-06T18:18:22+00:00,MUUSDT,flat,0.0000000000,8.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,SUIUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,DASHUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000310000,8.0000,0.086250,0.690000,7.5555,43.478,NO
2026-09-06T18:18:22+00:00,XAUUSDT,flat,0.0000000000,4.0000,0.0000000000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,TAOUSDT,flat,0.0000500000,4.0000,0.0000500000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,NEARUSDT,short Bitget / long Gate,0.0001000000,8.0000,-0.0000550000,8.0000,0.193750,1.550000,16.9725,19.355,NO
2026-09-06T18:18:22+00:00,FLOCKUSDT,short Bitget / long Gate,-0.0000870000,4.0000,-0.0006760000,8.0000,0.627500,5.020000,54.9690,5.976,YES
2026-09-06T18:18:22+00:00,SOXLUSDT,long Bitget / short Gate,0.0002510000,8.0000,0.0010520000,8.0000,-1.001250,-8.010000,87.7095,3.745,YES
2026-09-06T18:18:22+00:00,AKEUSDT,short Bitget / long Gate,-0.0014000000,4.0000,-0.0018990000,4.0000,1.247500,9.980000,109.2810,3.006,YES
2026-09-06T18:18:22+00:00,PEPEUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,WLDUSDT,short Bitget / long Gate,0.0001000000,8.0000,-0.0000200000,8.0000,0.150000,1.200000,13.1400,25.000,NO
2026-09-06T18:18:22+00:00,PUMPUSDT,flat,0.0000500000,4.0000,0.0000500000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,LINKUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,LTCUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000530000,8.0000,0.058750,0.470000,5.1465,63.830,NO
2026-09-06T18:18:22+00:00,RAYUSDT,long Bitget / short Gate,-0.0003030000,4.0000,-0.0002070000,4.0000,-0.240000,-1.920000,21.0240,15.625,NO
2026-09-06T18:18:22+00:00,SPCXUSDT,flat,0.0000000000,8.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,ONDOUSDT,flat,0.0000500000,4.0000,0.0000500000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,FILUSDT,short Bitget / long Gate,-0.0000770000,8.0000,-0.0001150000,8.0000,0.047500,0.380000,4.1610,78.947,NO
2026-09-06T18:18:22+00:00,CLUSDT,flat,0.0000000000,4.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:18:22+00:00,ASTERUSDT,short Bitget / long Gate,0.0000500000,4.0000,0.0000300000,4.0000,0.050000,0.400000,4.3800,75.000,NO
2026-09-06T18:18:22+00:00,SKHYNIXUSDT,flat,0.0000000000,4.0000,0.0000000000,4.0000,0.000000,0.000000,0.0000,,NO
